epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7249,2.74753,3.87508,3.67255,0.00303,0.91803,0.05318,0.01219,1.91203,3.36931,2.92506,0.000550219,0.000550219,0.000550219
2,60.9923,2.264,2.63271,2.83289,0.00866,0.84962,0.01708,0.00466,2.1606,3.65639,3.57306,0.00109494,0.00109494,0.00109494
3,90.846,1.92804,2.05748,2.45927,0.34338,0.21813,0.22438,0.10508,1.86483,3.0774,3.1313,0.00162865,0.00162865,0.00162865
4,120.806,1.70818,1.74138,2.18114,0.46956,0.68894,0.53737,0.29345,1.56479,1.59575,2.18591,0.00161749,0.00161749,0.00161749
5,150.829,1.47483,1.47599,1.94648,0.70604,0.77748,0.80911,0.54601,1.13349,1.28396,1.75419,0.00160099,0.00160099,0.00160099
6,180.896,1.35555,1.32107,1.81959,0.87754,0.9233,0.92485,0.64299,1.13953,0.9447,1.75067,0.00158448,0.00158448,0.00158448
7,210.986,1.2818,1.21632,1.7432,0.9162,0.889,0.93121,0.67243,1.04354,1.09004,1.56454,0.00156798,0.00156798,0.00156798
8,241.11,1.18915,1.12781,1.64059,0.90708,0.93242,0.9564,0.75304,0.854,0.73593,1.41035,0.00155148,0.00155148,0.00155148
9,271.199,1.10573,1.06101,1.55897,0.91266,0.94137,0.97532,0.76611,0.84731,0.68913,1.35328,0.00153497,0.00153497,0.00153497
10,301.284,1.07342,0.98856,1.52741,0.92235,0.95146,0.97668,0.76893,0.85023,0.72186,1.36888,0.00151847,0.00151847,0.00151847
11,331.387,1.04154,0.93951,1.49484,0.93341,0.9765,0.98999,0.81149,0.735,0.58866,1.26393,0.00150197,0.00150197,0.00150197
12,361.497,1.00124,0.90574,1.45026,0.98198,0.98361,0.98981,0.79618,0.76264,0.61801,1.27273,0.00148546,0.00148546,0.00148546
13,391.514,0.96671,0.86174,1.42769,0.98335,0.9765,0.99198,0.81317,0.71381,0.69317,1.23547,0.00146896,0.00146896,0.00146896
